barangay_id,municipality_id,barangay_name
1,1,Adams (Pob.)
2,2,Bani
3,2,Buyon
4,2,Cabaruan
5,2,Cabulalaan
6,2,Cabusligan
7,2,Cadaratan
8,2,Calioet-Libong
9,2,Casilian
10,2,Corocor
11,2,Duripes
12,2,Ganagan
13,2,Libtong
14,2,Macupit
15,2,Nambaran
16,2,Natba
17,2,Paninaan
18,2,Pasiocan
19,2,Pasngal
20,2,Pipias
21,2,Pulangi
22,2,Pungto
23,2,San Agustin I (Pob.)
24,2,San Agustin II (Pob.)
25,2,San Andres I (Pob.)
26,2,San Andres II (Pob.)
27,2,San Gabriel I (Pob.)
28,2,San Gabriel II (Pob.)
29,2,San Pedro I (Pob.)
30,2,San Pedro II (Pob.)
31,2,San Roque I (Pob.)
32,2,San Roque II (Pob.)
33,2,San Simon I (Pob.)
34,2,San Simon II (Pob.)
35,2,San Vicente (Pob.)
36,2,Sangil
37,2,Santa Filomena I (Pob.)
38,2,Santa Filomena II (Pob.)
39,2,Santa Rita (Pob.)
40,2,Santo Cristo I (Pob.)
41,2,Santo Cristo II (Pob.)
42,2,Tambidao
43,2,Teppang
44,2,Tubburan
45,3,Alay-Nangbabaan
46,3,Alogoog
47,3,Ar-arusip
48,3,Aring
49,3,Balbaldez
50,3,Bato
51,3,Camanga
52,3,Canaan (Pob.)
53,3,Caraitan
54,3,Gabut Norte
55,3,Gabut Sur
56,3,Garreta (Pob.)
66,3,La Virgen Milagrosa
57,3,Labut
58,3,Lacuben
59,3,Lubigan
60,3,Mabusag Norte
61,3,Mabusag Sur
62,3,Madupayas
63,3,Morong
64,3,Nagrebcan
65,3,Napu
67,3,Pagsanahan Norte
68,3,Pagsanahan Sur
69,3,Paltit
70,3,Parang
71,3,Pasuc
72,3,Santa Cruz Norte
73,3,Santa Cruz Sur
74,3,Saud
75,3,Turod
76,4,Abaca
77,4,Bacsil
78,4,Banban
79,4,Baruyen
80,4,Dadaor
81,4,Lanao
82,4,Malasin
83,4,Manayon
84,4,Masikil
85,4,Nagbalagan
86,4,Payac
87,4,San Lorenzo (Pob.)
88,4,Taguiporo
89,4,Utol
111,5,Ablan Pob.
110,5,Acosta Pob.
90,5,Aglipay (Pob.)
91,5,Baay
92,5,Baligat
94,5,Baoa East
95,5,Baoa West
96,5,Barani (Pob.)
97,5,Ben-agan (Pob.)
98,5,Bil-loca
99,5,Biningan
93,5,Bungon
100,5,Callaguip (Pob.)
101,5,Camandingan
102,5,Camguidan
103,5,Cangrunaan (Pob.)
104,5,Capacuan
105,5,Caunayan (Pob.)
107,5,Colo
109,5,Dariwdiw
112,5,Lacub (Pob.)
113,5,Mabaleng
114,5,Magnuang
115,5,Maipalig
116,5,Nagbacalan
117,5,Naguirangan
119,5,Palongpong
120,5,Palpalicong (Pob.)
121,5,Parangopong
122,5,Payao
108,5,Pimentel
123,5,Quiling Norte
124,5,Quiling Sur
125,5,Quiom
126,5,Rayuray
118,5,Ricarte Pob.
127,5,San Julian (Pob.)
128,5,San Mateo
129,5,San Pedro
130,5,Suabit (Pob.)
131,5,Sumader
132,5,Tabug
106,5,Valdez Pob.
133,6,Ablan Sarat
134,6,Agaga
135,6,Bayog
136,6,Bobon
137,6,Buduan
138,6,Nagsurot
139,6,Paayas
140,6,Pagali
141,6,Poblacion
142,6,Saoit
143,6,Tanap
144,7,Angset
145,7,Barbaqueso (Pob.)
146,7,Virbira
147,8,Anggapang Norte
148,8,Anggapang Sur
149,8,Bimmanga
150,8,Cabuusan
151,8,Comcomloong
152,8,Gaang
153,8,Lang-ayan-Baramban
154,8,Lioes
155,8,Maglaoi Centro
156,8,Maglaoi Norte
157,8,Maglaoi Sur
158,8,Paguludan-Salindeg
159,8,Pangil
160,8,Pias Norte
161,8,Pias Sur
162,8,Poblacion I
163,8,Poblacion II
164,8,Salugan
165,8,San Simeon
166,8,Santa Cruz
167,8,Tapao-Tigue
168,8,Torre
169,8,Victoria
170,9,Albano (Pob.)
171,9,Bacsil
172,9,Bagut
174,9,Baresbes
175,9,Barong
176,9,Bungcag
177,9,Cali
178,9,Capasan
179,9,Dancel (Pob.)
200,9,Elizabeth
195,9,Espiritu
180,9,Foz
181,9,Guerrero (Pob.)
182,9,Lanas
183,9,Lumbad
184,9,Madamba (Pob.)
185,9,Mandaloque
186,9,Medina
173,9,Parado (Bangay)
190,9,Peralta (Pob.)
189,9,Puruganan (Pob.)
191,9,Root
192,9,Sagpatan
193,9,Saludares
194,9,San Esteban
197,9,San Francisco
188,9,San Marcelino
199,9,San Marcos
196,9,Sulquiano
198,9,Suyo
187,9,Ver
201,10,Cabaritan
203,10,Kalaw
204,10,Quibel
202,10,San Isidro
205,11,Balioeg
206,11,Bangsar
207,11,Barbarangay
224,11,Binacag
208,11,Bomitog
209,11,Bugasi
210,11,Caestebanan
211,11,Caribquib
212,11,Catagtaguen
213,11,Crispina
214,11,Hilario (Pob.)
215,11,Imelda
216,11,Lorenzo (Pob.)
217,11,Macayepyep
218,11,Marcos (Pob.)
219,11,Nagpatayan
221,11,Sinamar
222,11,Tabtabagan
220,11,Valdez
223,11,Valenciano (Pob.)
282,12,"Bgy. No. 1, San Lorenzo (Pob.)"
281,12,"Bgy. No. 10, San Jose (Pob.)"
292,12,"Bgy. No. 11, Santa Balbina (Pob.)"
279,12,"Bgy. No. 12, San Isidro (Pob.)"
267,12,"Bgy. No. 13, Nstra. Sra. De Visitacion (Pob.)"
298,12,"Bgy. No. 14, Santo Tomas (Pob.)"
278,12,"Bgy. No. 15, San Guillermo (Pob.)"
280,12,"Bgy. No. 16, San Jacinto (Pob.)"
276,12,"Bgy. No. 17, San Francisco (Pob.)"
295,12,"Bgy. No. 19, Santa Marcela (Pob.)"
294,12,"Bgy. No. 2, Santa Joaquina (Pob.)"
286,12,"Bgy. No. 20, San Miguel (Pob.)"
287,12,"Bgy. No. 21, San Pedro (Pob.)"
274,12,"Bgy. No. 22, San Andres (Pob.)"
285,12,"Bgy. No. 23, San Matias (Pob.)"
263,12,"Bgy. No. 24, Nstra. Sra. De Consolacion (Pob.)"
293,12,"Bgy. No. 25, Santa Cayetana (Pob.)"
283,12,"Bgy. No. 26, San Marcelino (Pob.)"
266,12,"Bgy. No. 27, Nstra. Sra. De Soledad (Pob.)"
275,12,"Bgy. No. 28, San Bernardo (Pob.)"
299,12,"Bgy. No. 29, Santo Tomas (Pob.)"
268,12,"Bgy. No. 3, Nstra. Sra. Del Rosario (Pob.)"
300,12,"Bgy. No. 30-A, Suyo"
296,12,"Bgy. No. 30-B, Santa Maria"
301,12,"Bgy. No. 31, Talingaan"
252,12,"Bgy. No. 32-A, La Paz East"
250,12,"Bgy. No. 32-B, La Paz West"
248,12,Bgy. No. 32-C La Paz East
253,12,"Bgy. No. 33-A, La Paz Proper"
249,12,"Bgy. No. 33-B, La Paz Proper"
246,12,"Bgy. No. 34-A, Gabu Norte West"
245,12,"Bgy. No. 34-B, Gabu Norte East"
247,12,"Bgy. No. 35, Gabu Sur"
226,12,"Bgy. No. 36, Araniw"
237,12,"Bgy. No. 37, Calayab"
256,12,"Bgy. No. 38-A, Mangato East"
257,12,"Bgy. No. 38-B, Mangato West"
297,12,"Bgy. No. 39, Santa Rosa"
277,12,"Bgy. No. 4, San Guillermo (Pob.)"
230,12,"Bgy. No. 40, Balatong"
229,12,"Bgy. No. 41, Balacad"
225,12,"Bgy. No. 42, Apaya"
241,12,"Bgy. No. 43, Cavit"
304,12,"Bgy. No. 44, Zamboanga"
302,12,"Bgy. No. 45, Tangid"
260,12,"Bgy. No. 46, Nalbo"
232,12,"Bgy. No. 47, Bengcag"
236,12,"Bgy. No. 48-B, Cabungaan South"
242,12,"Bgy. No. 49-A, Darayday"
270,12,"Bgy. No. 49-B, Raraburan"
288,12,"Bgy. No. 5, San Pedro (Pob.)"
233,12,"Bgy. No. 50, Buttong"
261,12,"Bgy. No. 51-A, Nangalisan East"
262,12,"Bgy. No. 51-B, Nangalisan West"
284,12,"Bgy. No. 52-A, San Mateo"
254,12,"Bgy. No. 52-B, Lataag"
271,12,"Bgy. No. 53, Rioeng"
251,12,"Bgy. No. 54-A, Lagui-Sail"
238,12,"Bgy. No. 54-B, Camangaan"
231,12,"Bgy. No. 55-A, Barit-Pandan"
272,12,"Bgy. No. 55-B, Salet-Bulangon"
