municipality_id,province_id,municipality_name
1,2,Adams
2,2,Bacarra
3,2,Badoc
4,2,Bangui
5,2,City of Batac
6,2,Burgos
7,2,Carasi
8,2,Currimao
9,2,Dingras
10,2,Dumalneg
11,2,Banna
12,2,City of Laoag
13,2,Marcos
14,2,Nueva Era
15,2,Pagudpud
16,2,Paoay
17,2,Pasuquin
18,2,Piddig
19,2,Pinili
20,2,San Nicolas
21,2,Sarrat
22,2,Solsona
23,2,Vintar
24,3,Alilem
25,3,Banayoyo
26,3,Bantay
27,3,Burgos
28,3,Cabugao
29,3,City of Candon
30,3,Caoayan
31,3,Cervantes
32,3,Galimuyod
33,3,Gregorio del Pilar
34,3,Lidlidda
35,3,Magsingal
36,3,Nagbukel
37,3,Narvacan
38,3,Quirino
39,3,Salcedo
40,3,San Emilio
41,3,San Esteban
42,3,San Ildefonso
43,3,San Juan
44,3,San Vicente
45,3,Santa
46,3,Santa Catalina
47,3,Santa Cruz
48,3,Santa Lucia
49,3,Santa Maria
50,3,Santiago
51,3,Santo Domingo
52,3,Sigay
53,3,Sinait
54,3,Sugpon
55,3,Suyo
56,3,Tagudin
57,3,City of Vigan
58,4,Agoo
59,4,Aringay
60,4,Bacnotan
61,4,Bagulin
62,4,Balaoan
63,4,Bangar
64,4,Bauang
65,4,Burgos
66,4,Caba
67,4,Luna
68,4,Naguilian
69,4,Pugo
70,4,Rosario
71,4,City of San Fernando
72,4,San Gabriel
73,4,San Juan
74,4,Santo Tomas
75,4,Santol
76,4,Sudipen
77,4,Tubao
78,5,Agno
79,5,Aguilar
80,5,City of Alaminos
81,5,Alcala
82,5,Anda
83,5,Asingan
84,5,Balungao
85,5,Bani
86,5,Basista
87,5,Bautista
88,5,Bayambang
89,5,Binalonan
90,5,Binmaley
91,5,Bolinao
92,5,Bugallon
93,5,Burgos
94,5,Calasiao
95,5,City of Dagupan
96,5,Dasol
97,5,Infanta
98,5,Labrador
99,5,Lingayen
100,5,Mabini
101,5,Malasiqui
102,5,Manaoag
103,5,Mangaldan
104,5,Mangatarem
105,5,Mapandan
106,5,Natividad
107,5,Pozorrubio
108,5,Rosales
109,5,City of San Carlos
110,5,San Fabian
111,5,San Jacinto
112,5,San Manuel
113,5,San Nicolas
114,5,San Quintin
115,5,Santa Barbara
116,5,Santa Maria
117,5,Santo Tomas
118,5,Sison
119,5,Sual
120,5,Tayug
121,5,Umingan
122,5,Urbiztondo
123,5,City of Urdaneta
124,5,Villasis
125,5,Laoac
126,6,Basco
127,6,Itbayat
128,6,Ivana
129,6,Mahatao
130,6,Sabtang
131,6,Uyugan
132,7,Abulug
133,7,Alcala
134,7,Allacapan
135,7,Amulung
136,7,Aparri
137,7,Baggao
138,7,Ballesteros
139,7,Buguey
140,7,Calayan
141,7,Camalaniugan
142,7,Claveria
143,7,Enrile
144,7,Gattaran
145,7,Gonzaga
146,7,Iguig
147,7,Lal-Lo
148,7,Lasam
149,7,Pamplona
150,7,Peñablanca
151,7,Piat
152,7,Rizal
153,7,Sanchez-Mira
154,7,Santa Ana
155,7,Santa Praxedes
156,7,Santa Teresita
157,7,Santo Niño
158,7,Solana
159,7,Tuao
160,7,Tuguegarao City
161,8,Alicia
162,8,Angadanan
163,8,Aurora
164,8,Benito Soliven
165,8,Burgos
166,8,Cabagan
167,8,Cabatuan
168,8,City of Cauayan
169,8,Cordon
170,8,Dinapigue
171,8,Divilacan
172,8,Echague
173,8,Gamu
174,8,City of Ilagan
175,8,Jones
176,8,Luna
177,8,Maconacon
178,8,Delfin Albano
179,8,Mallig
180,8,Naguilian
181,8,Palanan
182,8,Quezon
183,8,Quirino
184,8,Ramon
185,8,Reina Mercedes
186,8,Roxas
187,8,San Agustin
188,8,San Guillermo
189,8,San Isidro
190,8,San Manuel
191,8,San Mariano
192,8,San Mateo
193,8,San Pablo
194,8,Santa Maria
195,8,City of Santiago
196,8,Santo Tomas
197,8,Tumauini
198,9,Ambaguio
199,9,Aritao
200,9,Bagabag
201,9,Bambang
202,9,Bayombong
203,9,Diadi
204,9,Dupax del Norte
205,9,Dupax del Sur
206,9,Kasibu
207,9,Kayapa
208,9,Quezon
209,9,Santa Fe
210,9,Solano
211,9,Villaverde
212,9,Alfonso Castaneda
213,10,Aglipay
214,10,Cabarroguis
215,10,Diffun
216,10,Maddela
217,10,Saguday
218,10,Nagtipunan
219,11,Abucay
220,11,Bagac
221,11,City of Balanga
222,11,Dinalupihan
223,11,Hermosa
224,11,Limay
225,11,Mariveles
226,11,Morong
227,11,Orani
228,11,Orion
229,11,Pilar
230,11,Samal
231,12,Angat
232,12,Balagtas
233,12,Baliuag
234,12,Bocaue
235,12,Bulacan
236,12,Bustos
237,12,Calumpit
238,12,Guiguinto
239,12,Hagonoy
240,12,City of Malolos
241,12,Marilao
242,12,City of Meycauayan
243,12,Norzagaray
244,12,Obando
245,12,Pandi
246,12,Paombong
247,12,Plaridel
248,12,Pulilan
249,12,San Ildefonso
250,12,City of San Jose Del Monte
251,12,San Miguel
252,12,San Rafael
253,12,Santa Maria
254,12,Doña Remedios Trinidad
255,13,Aliaga
256,13,Bongabon
257,13,City of Cabanatuan
258,13,Cabiao
259,13,Carranglan
260,13,Cuyapo
261,13,Gabaldon
262,13,City of Gapan
263,13,General Mamerto Natividad
264,13,General Tinio
265,13,Guimba
266,13,Jaen
267,13,Laur
268,13,Licab
269,13,Llanera
270,13,Lupao
271,13,Science City of Muñoz
272,13,Nampicuan
273,13,City of Palayan
274,13,Pantabangan
275,13,Peñaranda
276,13,Quezon
277,13,Rizal
278,13,San Antonio
279,13,San Isidro
280,13,San Jose City
281,13,San Leonardo
282,13,Santa Rosa
283,13,Santo Domingo
284,13,Talavera
285,13,Talugtug
286,13,Zaragoza
287,14,City of Angeles
288,14,Apalit
289,14,Arayat
290,14,Bacolor
291,14,Candaba
292,14,Floridablanca
293,14,Guagua
294,14,Lubao
295,14,Mabalacat City
296,14,Macabebe
297,14,Magalang
298,14,Masantol
299,14,Mexico
300,14,Minalin
301,14,Porac
302,14,City of San Fernando
303,14,San Luis
304,14,San Simon
305,14,Santa Ana
306,14,Santa Rita
307,14,Santo Tomas
308,14,Sasmuan
309,15,Anao
310,15,Bamban
311,15,Camiling
312,15,Capas
313,15,Concepcion
314,15,Gerona
315,15,La Paz
316,15,Mayantoc
317,15,Moncada
318,15,Paniqui
319,15,Pura
320,15,Ramos
